"ID","klimatischer Stressor","Impact","Branche(n)","Unternehmensbereich","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte1","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Hochwasser","Einschränkung der Schifffahrt bei Rhein-Hochwasser: erst reduzierte Tonnage, dann Sperrung des Rheins, meist kurze Zeiträume --> Verzögerungen in der Lieferkette","Logistik","Produktion / Betrieb","Spedition Kleyling; Hafen Karlsruhe","Deutschland","Tieflagen",,"ein Problem indirekt ist Starkregen auch noch für die Binnenschifffahrt, weil dann schlichtweg keine Schiffe mehr fahren können. Erfahrungsgemäß ist es dann so, dass eventuell Brücken nicht mehr unterfahren werden können, wenn der Wasserstand zu hoch ist bzw. dass wenn der Wasserstand zu hoch ist, dass dann ein generelles Fahrverbot für die Binnenschifffahrt herrscht.","HKA: es sei den es gibt dann ein längeres Hochwasser, da wird eben das Hafensperrtor heruntergelassen und alles was vor dem Hafensperrtor ist, im Prinzip dem Rhein entlang, wird eben überschwemmt. Aber im Rheinhafen selbst ist es kein Thema, es sei denn, klar, wenn Schiffe unterwegs sind, die dann nicht mehr in den Hafen einfahren können. Dann haben wir eben ein Problem. Dann wird die Logistische Kette unterbrochen. [...] in der Binnenschifffahrt, haben sie natürlich recht, wenn der Pegel auf einem bestimmten Niveau ist, dann wird der Schiffsverkehr entweder eingeschränkt oder eingestellt. So, aber dieses Phänomen Hochwasser haben wir in den letzten fünf bis sieben Jahren so gut wie gar nicht mehr gehabt.",,,,,,,,,
,"Hochwasser","Sperrung des Rheins für Schifffahrt bei Hochwasser --> Umplanungen, Ausweichen auf Straße und Schiene, Mehraufwand","Logistik","Management; Personal","Contargo; Dischinger","Deutschland","Tieflagen",,"Disch2: Wo in der Logistik große Herausforderungen kommen und auch sind, dass ist in der Binnenschifffahrt. Ich bin im Verwaltungsrat des Rheinhafens in Kehl, vielleicht können Sie dort mal nachfragen. Da gibt es zwei Extreme, einmal Hochwasser und einmal Niedrigwasser. Und natürlich je mehr Hochwasser da ist, desto schlechter ist es für die Schifffahrt. Das heißt von halber Ladung bis hin zu kompletten Stopp. Da ist es mit Sicherheit ein richtig großes Problem. Das heißt aber dann, dass es rum auf die Bahn geht. Die ist nicht leistungsfähig in der Form, leider, muss ich auch sagen, leider. Und dann geht es auf den LKW.","Kolhof et al. 2018, S. 17",,,,,,,,,
,"Hochwasser","Sperrung des Rheins für Schifffahrt bei Hochwasser --> Nicht-Erfüllung von Aufträgen, Kundenunzufriedenheit","Logistik","Absatz","Contargo","Deutschland","Tieflagen",,"Kolhof et al. 2018",,,,,,,,,,
,"Starkregen","Überflutung des Betriebsgeländes durch ausufernde kleine Fließgewässer und nicht abfließendes Regenwasser --> mögliche Schäden an Gebäuden und Betriebsmitteln durch eindringendes Wasser und Schlamm ","Getränkeindustrie; Bausektor; Forst- und Holzwirtschaft; Logistik","Betriebsmittel","Decker Bier; U1; C2; Schreinerei Burkard; Gaggenau; Holzbearbeitung Heinzelmann; Doll; Dischinger","Deutschland; Frankreich","Tieflagen; mittlere Lagen","mögliche Ursachen für Überflutung, die auch in Kombination auftreten können: Ausuferung von kleinen Fließgewässern, abfließendes Hangwasser, Rückstau aus überlasteten Abwassersystemen, steigendes Grundwasser, durch Fenster oder Lichtschächte eindringendes Wasser; mögliche Schäden sind: Durchfeuchtung von Mauerwerk, Volumenänderungen, abgelöste Beschichtungen, Schimmelbildung, Korrosion, Kurzschlüsse an Elektroinstallationen, Schäden an Maschinen und Lagerware, Schäden an Dämmung; daneben auch Schäden durch Regen bei wasserempfindlicher Ware","vor ein paar Jahren–da gab es auch mal eine Phase, da hat es extrem gehagelt und auch viel geregnet. Wir mussten tatsächlich auch eine Sickergrube noch anlegen –das haben wir vor zwei Jahren gemacht –dass das Wasser besser abläuft. […] Wir  haben  einen  großen Walnussbaum auch und der ist –klar zu dieser Jahreszeit, da kannst du jeden Tag irgendwie Laub wegräumen. Der verstopft auch die ganzen Abflüsse, das ist logisch. Dasselbe hast du aber auch wenn du braust, wenn du die Tanks ausspülst. Da ist unheimlich viel so Schlacke drin, was übrig bleibt vom Hopfen. Genau. Und das sind alles so Sachen, die müssen natürlich durch den Abfluss durch.","Hars et al. S.20; S. 56","2014 war der extreme Starkregen, der innerhalb von vier Stunden zu extremem Hochwasser geführt hat. Die Unwetterzelle war im Achertal und hat dann innerhalb von wenigen Stunden - also abends um sieben war noch schönstes Wetter und um zwölf nachts haben wir dann eine Überflutung gehabt von 30 cm über das Gelände. Dementsprechend dann mit Hochwasserschäden am Gebäude und an der Einrichtung.","Donc on a ici des pompes de relevage, qui viennent repomper notre système d’assainissement vers le système d’assainissement public. Avec la problématique, qu’on a déjà vue ces dernières années, que quand il y a des forts orages avec des fortes pluies, on était par deux ou trois fois limite, ça commençait à déborder. Les pompes de relevage ne suivaient plus. On a chaque fois eu la chance que ça s’est arrêté à temps. Donc on n’a eu que des quais qui étaient légèrement inondés ou des choses comme ça, sans que ça ait des conséquences sur les… Mais on était une fois vraiment à la limite de l’entrée d’un ? de production. Donc c’est un risque. [...]  En fait les fenêtres s’avèrent être un problème parce que quand la pluie est orageuse avec le vent, on a des infiltrations à ce niveau-là. Ca fait vraiment de belles infiltrations par endroits","HH: Überschwemmungen und  Starkregen  ist  schon ein Problem. Unser Werk liegt direkt der Kinzig, die fließt direkt in den Rhein, kriegt man Probleme mit der Versicherung, also wir haben ja zum Beispiel keinen Hochwasserschutz mehr,   die   haben   da   einfach   Umrüstungsmaßnahmen   von   uns   erwartet,   die   von Unternehmen in unserer Größenordnung einfach nicht mehr zu tragen sind. Also und wir sehen die Gefahr ja auch nicht vor. Es gab schon ein Hochwasser inder Vergangenheit,","Doll: Wenn man zum Beispiel das Thema mit dem Starkregen hat und er steht irgendwo offen rum und würde die Hebebühne oder die Türen vom Auflieger öffnen, dann muss er im Endeffekt das schon wissen, dass wenn er die Aufmacht, dass dann womöglich beispielsweise bei Elektroprodukten oder sonstigen, dass dann das Gut nass wird und sowas. [...] Es geht ja auch los bei Kleinigkeiten, wenn ein LKW-Fahrer sagt, okay, ich lasse jetzt dann meine Fenster offen und kurz darauf habe ich ein Starkregenereignis und dann habe ich irgendwelche Schäden am Fahrzeu","Disch2: Sie sehen Starkregen oder starken Niederschlag nicht als generelles Problem in der Logistikbranche?
IP: Nein, wenn dann sind das Unzulänglichkeiten, wie Dach undicht oder solche Sachen",,,,
,"Starkregen; Hochwasser","Überflutung des Betriebsgeländes --> Betriebsunterbrechung wg. Eindämmungsmaßnahmen und Unzugänglichkeit","Logistik; Forst- und Holzwirtschaft; Verarbeitendes Gewerbe","Produktion / Betrieb","Spedition Kleyling; Gaggenau; Evola; Hafen Karlsruhe;  Schreinerei Burkard; Hévron","Deutschland; Frankreich","Tieflagen",,"Aber wir selbst also Breisach sind 500 m vom Rhein entfernt und bis jetzt ist es noch nicht so passiert, dass der Rhein so über die Ufer getreten wäre, dass die Zufahrt zum Betriebsgelände nicht möglich gewesen wäre. Aber die andere Frage wäre wirklich, was kann man dafür oder dagegen tun. Ein Großteil der Vorsorge liegt im Bereich der EDV, der Telefonanlagen, das heißt die telefonische Erreichbarkeit, der EDV-Flexibilität, das bedeutet im Prinzip, dass man switchen kann zwischen Home-Office Erreichbarkeit und Arbeitsdurchführung, als auch zwischen Betrieb, so dass man da den Ort der Ausführung wechseln kann. Das hätten wir natürlich auch wenn es einen Brand gäbe, dass man dann, vorausgesetzt die EDV ist nicht betroffen, dass man sich dann relativ schnell anders aufstellen kann, um den Betrieb weiterzuführen.","Donc on a ici des pompes de relevage, qui viennent repomper notre système d’assainissement vers le système d’assainissement public. Avec la problématique, qu’on a déjà vue ces dernières années, que quand il y a des forts orages avec des fortes pluies, on était par deux ou trois fois limite, ça commençait à déborder. Les pompes de relevage ne suivaient plus. On a chaque fois eu la chance que ça s’est arrêté à temps. Donc on n’a eu que des quais qui étaient légèrement inondés ou des choses comme ça, sans que ça ait des conséquences sur les… Mais on était une fois vraiment à la limite de l’entrée d’un ? de production. Donc c’est un risque.","Evola: in dem Moment wo es regnet kann es passieren, dass Teile meiner Umschlagshalle oder Lagerhalle dementsprechend auch überflutet werden, gut, wir haben fast alles auf Paletten stehen, so dass wir da eigentlich weniger einen direkten Schaden haben, es ist also schlichtweg das Problem, dass das Wasser nicht aufgeführt werden kann in dieser kurzen Zeit, in der es anschwillt.","HKA: Ja das kann vorkommen, dass die Straße mal eine Stunde oder zwei überschwemmt ist, bis dann die Feuerwehr kommt und das abgesaugt hat oder verteilt hat und dann geht’s auch wieder weiter. ",,"Burkart: Das ist hier ein Hochwasserprotokoll. [Er zeigt ein Hochwasserprotokoll]: Also 1978 war ein großes Hochwasser, klar das habe ich nicht erlebt. Und das waren die Hochwasser, bei denen wir Maßnahmen ergriffen haben, also wenn wir Sandsäcke gelegt haben."," Si une fois il devait y avoir une inondation et que tout était inondé, quand on voit notre site, il pourrait se passer la chose suivante :  nos employés ne pourraient plus travailler, le temps qu'il y ait de l'eau par terre. ",,,,
,"Starkregen","Schäden durch eindringendes Regenwasser und Druckwasser, besonders bei zu klein dimensionierten oder verstopften Abwasserrohren, Kanälen oder Dachrinnen","Bausektor; Getränkeindustrie; Logistik","Produktion / Betrieb; Betriebsmittel","C1; Decker; Evola","Deutschland","Tieflagen","es kommt z. B. zu Rückstau aus der überlasteten Kanalisation oder zu an Wänden abfließendem Wasser bei überlasteten Dachrinnen","Hars et al. S. 52 ""Die Anzahl der Kunden auf Grund von übergelaufenen oder beschädigten Dachrinnen habe sich erhöht""","Decker:  weil dort das Laub über –ich denke mal –Jahre nicht  entfernt  wurde  und  das  den  Boden  unheimlich  verdichtet  hat.  Das  mussten  wir  alles lockern. Das ist auch jetzt immer noch ein Thema, weil wir so ein leichtes Gefälle haben. Aber das  sehen  wir  nicht  so  vom  Klima  abhängig,  sondern  [...]  Wir  haben  einen  großen Walnussbaum auch und der ist –klar zu dieser Jahreszeit, da kannst du jeden Tag irgendwie Laub wegräumen. Der verstopft auch die ganzen Abflüsse, das ist logisch. Dasselbe hast du aber auch wenn du braust, wenn du die Tanks ausspülst. Da ist unheimlich viel so Schlacke drin, was übrig bleibt vom Hopfen. Genau. Und das sind alles so Sachen, die müssen natürlich durch den Abfluss durch.","Evola: Das sehen wir durchaus teilweise als Problem an, das fängt schon damit an, dass wir in einem gemieteten Umschlagshalle sind und die hat dreieinhalb tausend Quadratmeter Grundfläche, dementsprechend auch Dachfläche. Das Gebäude stammt aus den 1980er Jahren und da hat man damals die schlaue Idee gehabt, dass man die Regenabflüsse in die Halle verlegt, also sprich die Fallrohre, die vom Dach die Entwässerung bewerkstelligen sollen, die werden im Inneren der Halle in den Boden geleitet und da haben wir immer wieder bei solchen Starkregenereignissen das Problem das die Kanalisation nicht mehr schluckt und wir das Wasser in der Halle dann über diese Fallrohre herausgedrückt bekommen. [...] ",,,,,,,,
,"Starkregen","Behinderung und Unterbrechung von Arbeiten im Freien, auf Baustellen, etc --> Zeitverlust, geringere Arbeitsproduktivität","Bausektor; Verarbeitendes Gewerbe; Logistik","Produktion / Betrieb","B1; Hévron; Hafen Kehl","Deutschland; Schweiz","Tieflagen; mittlere Lagen; Hochlagen",,"Hars et al. S. 48","SB: Commençons par les épisodes de forte pluie. GC : Oui, dans le secteur de montage. Ce n'est pas le procédé de fabrication, c'est vraiment le montage. C'est un paramètre important ou on est impacté, parce qu'on va moins bien travailler. Quand il y a trente personnes dehors, trempées, je pense qu'à la fin de la journée, ils ont fait que le 85% de ce qu'ils auraient pu faire si la météo avait été idéale. Mais sinon, non la pluie n'est pas un problème pour Hevron SA. ","HKE: Natürlich ists immer schlimm, wenn es stark regnet und man hat Schwierigkeiten bei der Umsetzung der Arbeit im Freien, aber so extrem betrifft uns das nicht.",,,,,,,,
,"Starkregen ","Starkregen als Auslöser von Rutschungen --> Schäden an Gebäuden und Betriebsmitteln, etc.","Getränkeindustrie","Betriebsmittel","Mineralquelle Eptingen AG","Schweiz","mittlere Lagen",,"Ja es gab nur mal einen Erdrutsch, 1969. Aber das war vom Menschen gemacht, nicht Klimawandel. Es hatte viel geregnet und gleichzeitig wurde ein Viadukt gebaut. Und da ist dann der Felsen runtergerutscht und hat die ganze Produktion zerstört.",,,,,,,,,,
,"Starkregen","Verkehrsbehinderungen durch Überflutungen und Rutschungen --> Verspätungen in der Lieferkette, Unfallgefahr","Logistik; Wasserversorgung","Produktion / Betrieb; Lieferkette","Spedition Kleyling; Dischinger; Gaggenau; Gemeinde Gutach; Evola; Hafen Karlsruhe; Doll","Deutschland; Frankreich","Tieflagen, mittlere Lagen, Hochlagen","wird meist als nicht gravierend eingeschätzt","Sollte es jetzt im Frankfurter Raum Starkregen geben und der eingesetzte Frachtführer muss einen Umweg fahren, das bekommen wir nur relativ wenig mit. Das heißt maximal in der Form, dass der Wagen zu spät kommt wenn er einen Termin hat. Aber das wir da jetzt größere Probleme gehabt hätten, gab es bisher nicht. Wie gesagt, das müsste schon sehr großflächig sein, dass Starkregen die Lieferketten unterbricht. Da müsste ganz Baden-Württemberg Unterwasser stehen.","Was natürlich mit Starkregen noch in Verbindung ist an Strecke, das sind Felsstürze oder Hangrutschungen, die dann auf die Straße fallen, so wie es manchmal schon passiert ist bei Freiburg im Höllental. Aber das führt dann natürlich zu komplett Sperrungen, dass kann dann natürlich zu Problemen insbesondere im Nahverkehr führen. So dass die Ware im Endeffekt gar nicht geliefert werden kann, weil Titisee nur sehr bedingt oder gar nicht erreicht werden kann durch den Felssturz im Höllental","Unwetter betrifft uns wenn dann immer mal wieder in der Lieferkette, aber da sind die Kunden: „Ok, so what!?“ Das ist ein- zweimal, die Kunden akzeptieren das. Dass da mal der Lastwagen nicht pünktlich kommt [...] , das ist höhere Gewalt, da kannst du nix dafür","Sur l’acheminement, comme on a le stockage au Port du Rhin, si on a une inondation entre les deux, ça risque d’être coupé.","Gem Gut: Richtung Haslach und Elzach, da war ein größerer Hangrutsch, da bin ich selbst gerade heimgefahren. [unverständlich]Und da war der ganze Hang abgegangen und ich bin dann gerade in der Kurve vorne dran gestanden. Ich habe es nicht gesehen aber vor mir waren zwei LKWs und zwei, drei Autos und gerade um die Kurve herum ist da der Hang runter, wo halt das Starkregenereignis war. Kurzfristig hat der Hang sich gelöst. Da war vor ein paar Jahren schonmal was, wo man versucht hat den Hang mit Steinen zu stabilisieren, aber das war nur ein kleiner Fleck was man da ausgebessert hat und jetzt ist der ganze Hang runter. Und dann ist nichts mehr gegangen und ich habe gemerkt wie die Flüsse ansteigen. Mir war es dann auch etwas mulmig, wo ich gemerkt habe, so ein kleiner Fluss –der eigentlich unbedeutend ist –wie der immer mehr in die Breite gegangen ist und dann ist er auch da oben heruntergekommen. Da habe ich gesagt: „Ok da geht gar nichts mehr, Hangrutsch.“Dann haben natürlich alle gewendet und versucht aus der Gefahrenzone herauszufahren","Evola: wir haben hier in Weil am Rhein sprichwörtlich direkt vor der Haustüre den Umschlagsbahnhof vom Kombiverkehr. Dort bringen wir die Container hin, die fahren dann auf der Bahn durch die Schweiz nach Italien und das gleiche natürlich auch in die Gegenrichtung. Da gibt es eine Bahnstrecke, so eine kleine Verbindungsbahn zwischen Italien und der Schweiz, da ist Lugano Varese und die ist eingleisig diese Strecke und führt am Lago Maggiore entlang. Dort gibt es immer wieder, im Jahr mindestens drei, vier, fünf solche Ereignisse durch Starkregen verursacht, wo Erdrutsche die Gleise blockieren und sonst irgendwo ein Zug weg kippt. Da sind wir dann natürlich schon betroffen, da wir die Strecke in der Regel gesperrt und je nach schwere des Ereignisses geht sie halt nach Stunden wieder auf oder erst nach Tagen. Dadurch verursacht werden die Züge natürlich umgeleitet und können den Fahrplan nicht mehr einhalten, klar.","HKA: Wie gesagt, was sein kann, in der Zufahrt zum Rheinhafen über die B10 oder A5, Anschluss, über die Südtangente, das weiß ich jetzt aber nicht, kann es schon sein, dass das einmal kurzfristig überflutet ist. Aber da reden wir dann vielleicht von zwei bis drei Stunden, nicht von Tagen oder so. Das sind kurzzeitige, temporäre Unterbrechungen. Über Umleitungen oder andere verkehrliche Erschließungen kann man aber den Rheinhafen trotzdem erreichbar machen. [...] Das Thema mit dem Starkregen, klar dass man das hat, aber das führt im Grunde genommen zu geringen bis keinen Beeinträchtigungen für den Rheinhafen.",,,,
,"Starkregen","steigende Unfallgefahr während Starkregen auf Grund schlechter Sicht und Aquaplaning --> mögliche Schäden an Fahrer, Lkw und Ware","Logistik","Personal; Betriebsmittel","Spedition Kleyling; Doll; Dischinger","Deutschland","Tieflagen, mittlere Lagen, Hochlagen",,"Die Fahrer werden halt aufgefordert angepasst zu fahren. Die Frage ist halt kann man fahren und wenn man fahren kann grundsätzlich bei Starkregen hat man nasse Fahrbahnen und da sind dann natürlich alle aufgefordert die Fahrweise entsprechend anzupassen, das ist klar. Ökonomisch und auch sicherheitstechnische Fahrweise, damit man nicht im Graben landen wegen Aquaplaning, weil das ist dann immer gleich recht teuer. Der LKW hat im schlimmsten Fall einen Totalschaden plus die Ware, die geladen war, das wird dann schon recht teuer. Insofern haben die Fahren schon diese Verhaltensregeln und wenn es jetzt wirklich bekannt ist das ein Weg, ein Zugangsweg zur Arbeitsstelle nicht zugänglich ist, dann wird es angekündigt","Doll: Im Grunde sehen wir nur bei Starkregenereignissen dann ein Problem, wenn man sagt, ja ok das ist ja in dem Fall höhere Gewalt, wenn irgendwelche Straßen dadurch gesperrt sind oder aber auch Fassadenschäden am Logistikobjekt oder aber auch an den Fahrzeugen Schäden entstehen.
","Disch2: Und Verkehr klar, man kann nicht so schnell fahren oder es gibt Unfälle, das sieht man ja auch wenn man selbst PKW fährt, dann kann man halt nicht mit 180 km/h da durchbrettern, sondern dann muss man halt runter auf 110 km/h","Kolhof et al: ",,,,,,,
,"Starkregen","Gefahr für Leib und Leben durch reißende Fluten an Fließgewässern, in Tiefgaragen, etc. ","Wasserversorgung","Personal","Gemeinde Gutach","Deutschland","Hochlagen",,"Gem Gut: Richtung Haslach und Elzach, da war ein größerer Hangrutsch, da bin ich selbst gerade heimgefahren. [unverständlich]Und da war der ganze Hang abgegangen und ich bin dann gerade in der Kurve vorne dran gestanden. Ich habe es nicht gesehen aber vor mir waren zwei LKWs und zwei, drei Autos und gerade um die Kurve herum ist da der Hang runter, wo halt das Starkregenereignis war. Kurzfristig hat der Hang sich gelöst. Da war vor ein paar Jahren schonmal was, wo man versucht hat den Hang mit Steinen zu stabilisieren, aber das war nur ein kleiner Fleck was man da ausgebessert hat und jetzt ist der ganze Hang runter. Und dann ist nichts mehr gegangen und ich habe gemerkt wie die Flüsse ansteigen. Mir war es dann auch etwas mulmig, wo ich gemerkt habe, so ein kleiner Fluss –der eigentlich unbedeutend ist –wie der immer mehr in die Breite gegangen ist und dann ist er auch da oben heruntergekommen. Da habe ich gesagt: „Ok da geht gar nichts mehr, Hangrutsch.“Dann haben natürlich alle gewendet und versucht aus der Gefahrenzone herauszufahren","Gem Gut: Wir hatten vor wenigen Wochen die Situation... Sommermonate, schönstes Wetter beiuns, Sonnenschein, im oberen Elztal, wo der Hangabgang war, Starkregen, eine Gewitterzelle wo nur da oben im oberen Elztal gestanden ist und drüben die Leute sind Corona bedingt auch viel an den Flüssen gewesen. Da war eine Frau mit ihren zwei Enkelkindern. Drüben bei uns an der Elz, im oberen Elztal geregnet und dann kam eine Welle oben runter mit Schlamm und Geröll und Baumstämme, die waren noch im Wasser, sind nicht mehr herausgekommen, waren dann auf einer kleinen Sandbank. Das war eine Riesen Aktion mit unserer Feuerwehr, die Kinder konnten Sie dann rüber ziehen, die Oma nicht, die musste dann mit dem Hubschrauber rausgezogen werden, war richtig was los. Und das war hier unten total harmlos, Sonnenschein. Im oberen Elztal ging auf Deutsch gesagt die Post ab",,,,,,,,,
,"Starkregen; Gewitter & Hagel; Sturm","Ausfall von Mitarbeitern auf Grund von Unwetterschäden im privaten Bereich und Aufräumeinsätzen","Logistik","Personal","Disch2","Deutschland","Tieflagen",,"Disch2: Regen in der Form habe ich für uns jetzt bisher als keine große Herausforderung erlebt. Außer wenn es jetzt extrem regnet und ich persönlich den Keller unter Wasser habe. Was auch schon passiert ist.",,,,,,,,,,
,"Starkregen; Gewitter & Hagel; Sturm","extremwetterbedingte Schäden an nicht-versichterten Materialien an Baustellen --> Gefahr finanzieller Verluste, Kunden-Unzufriedenheit ","Bausektor","Betriebsmittel; Absatz","D1; B1","Deutschland","Tieflagen"," ","Hars et al. S. 37; S. 48",,,,,,,,,,
,"Starkregen; Gewitter & Hagel; Sturm","Schäden & Ertragseinbußen an Anbaupflanzen (Getreide, Gemüse, Sonderkulturen, Jungbäume)","Forst- und Holzwirtschaft; Landwirtschaft","Rohstoffe; Absatz","Weingut Faber, u.a.",,,,"Nagy 2017","Stech 2021","Dörr 2021","Raab 2020, S. 49",,,,,,,
,"Starkregen; Gewitter & Hagel; Sturm","Auftragsschwankungen durch unregelmäßiges Auftreten von Extremwetterereignissen und folgenden Reparaturarbeiten","Bausektor","Absatz; Management","D1; B1","Deutschland","Tieflagen",,"Hars et al, S. 39; S. 48",,,,,,,,,,
,"Starkregen; Gewitter & Hagel; Sturm","Aufkommen neuer, extremwetterresistenter Produkte  -> Risiko: Verdrängung konventioneller Produkte und Betriebe","Bausektor","Betriebsmittel; Absatz","D1; B1","Deutschland","Tieflagen","Zusatzkosten für Schulungen und Beschaffung neuer Baumaterialien; aber auch Chance zur Verbesserung der Auftragslage","Hars et al. S. 39; S. 47/48",,,,,,,,,,
,"Gewitter & Hagel","Schäden an Gebäuden, Betriebsmitteln, gelagerter Ware","Landwirtschaft; Logistik","Betriebsmittel ","Doll","Deutschland","Tieflagen; mittlere Lagen",,"Doll: Das ist ein Thema und im Bereich, wo man sagt, ja okay man hat an Fahrzeugen oder sonstigen einfach Schäden erlitten, so ein Hagelschaden oder sowas, aber das ist ja von den Versicherungen abgedeckt.
","Nagy 2017",,,,,,,,,
,"Gewitter & Hagel","Schäden an Kritischer Infrastruktur, z. B. PV-Anlagen","Energiewirtschaft; Forst- und Holzwirtschaft","Betriebsmittel; Kritische Infrastruktur","SWMS; Holzbearbeitung Heinzelmann","Deutschland","Tieflagen; mittlere Lagen",,"SWMS: Hagel  auch  nicht,  zumindest  nicht  für  die Wasserversorgung.  Im  Bereich  Solaranlagen,  Photovoltaik  klar,  weil  unsere  Anlagen  dann Schaden nehmen können","HH: Gewitter und Hagel, ja gut, es kann halt sein, dass unsere  Fotovoltaik  Anlagen  Schaden davon nehmen,  aber  die  werden für  sowasauchversichert",,,,,,,,,
,"Gewitter & Hagel","Reparaturaufträge nach Hagelschäden erfordern kurzfristige Umplanungen und Mehraufwand","Verarbeitendes Gewerbe","Management","Hévron","Schweiz","mittlere Lagen; Hochlagen",,"SB : […] Et concernant un épisode de grêle ? Hevron a déjà fait face à ça ? GC : Oui, c'est clair que s'il grêle sur un chantier, ben on s'arrête et on va dans les cabanes de chantiers. Ce n'est pas significatif pour nous. ",,,,,,,,,,
,"Hitze; Dürre; allg. Temperaturanstieg; Starkregen; Gewitter & Hagel","Ernteeinbußen in der Landwirtschaft führen zu Umsatzrückgang in nachgelagerten Branchen","Logistik","Absatz; Rohstoffe","Dischinger","Deutschland","Tieflagen",,"wo ich noch was merke, ist wenn wir Hagel haben oder so, weil unsere Kunden natürlich dann auch umweltmäßig da betroffen sind, gerade weil wir eine Weinregion sind. Das merken wir auch. Wenn’s unseren Winzern nicht so gut geht, dann geht’s uns auch nicht so gut. Am Anfang des Jahres haben wir gedacht: „Scheiße, der Wein wird nicht so gut“. Aber jetzt haben wir ja Glück gehabt am Schluss. ",,,,,,,,,,
,"Sturm","Schäden auf dem Betriebsgelände, am Gebäude, an gelagerten Betriebsmitteln, etc. --> Risiko: ungenügender Versicherungsschutz","Getränkeindustrie; Logistik; Bausektor; Verarbeitendes Gewerbe","Betriebsmittel ","Decker Bier; Lieler Schlossbrunnen; Spedition Kleyling; U2; B1; C2; Schreinerei Burkard; Hévron; Gaggenau; Klotz","Deutschland; Schweiz; Frankreich","Tieflagen; mittlere Lagen; Hochlagen","z. B. Dach von Hütte beschädigt; Leergut im Hof könnte umfallen; Hallendach abgedeckt durch Orkan Lothar 1999; Verwehungen von Arbeitsmaterial oder Substrat zur Dachbegrünung; PV-Anlagen werden beschädigt, vom Dachgeweht; Schäden an Betriebsgebäuden durch umgestürzten Baum","Einmal hatten wir Sturm, der uns das Dach von der Hütte abgedeckt hat. Das war [...] –wir dachten eigentlich, weil das so ein Bausatz war für das Dach, das ist eigentlich fest genug. Hat nicht gereicht und wir mussten eine Eigenkonstruktion machen","Was noch eine Rolle spielt ist Starkwind. Also aufgetreten nicht wirklich aber wenn mal so Starkwind istim Hof bei uns –da steht auch das Leergut –ist dann auch mit Wind verbunden, dass viele Kisten umfallen, wenn so ein richtiger Starkwind herrschen würde","Also Regen in Zusammenhang mit Sturm, das kennen wir ja schon von vor ein paar Jahren mit Lothar. Der hat damals ein Dach abgedeckt von einer Halle, aber das war es dann auch schon. Mehr Erfahrungen haben wir bisher noch nicht.","Hars et al. S. 48; S. 56","Münch: Starker Wind? Burkard: Ja. Wann war das, Lothar? Münch: […] Ist hier auch etwas konkret passiert durch den Wind? Gab es irgendwelche Schäden? Burkard: Gering. Also wir hatten Schäden am Dach durch umstürzende Bäume, aber die waren gering.","Les vents aussi : On ne peut pas faire fonctionner la grue, s'il y a un ouragan, c'est la catastrophe aussi, cela provoque de la casse, des éléments qui tombent, il faut tout recommencer. ","C'est arrivé la semaine passée. C'est un cas d'une injustice incroyable. Voilà notre bâtiment de thermo-poudrage, et lundi [6.03.2017], l'arbre est tombé, un peuplier qui était là depuis que j'étais enfant. Il y a eu du vent à 98km/h le dimanche soir. Il est tombé et à endommagé les vieux ateliers que l'on a dans le village. On est en train de les déménager. On voit que l'arbre a tout pété. Voilà, et l'ECA sont venus et ont expliqués leur fonctionnement : Pour qu'ils entrent en matière [et donc qu'ils remboursent une partie des dégâts], il faut qu'il y ait des vents de 60km/h pendant une période de 15 minutes non-stop, ce qui n'existe pas. Ou des rafales de plus de 105 km/h, je crois. On ne remplit aucune de ces deux conditions. Troisième critère important : il faut qu'il y ait d'autres dégâts dans le périmètre. En l'occurrence, l'arbre qui est tombé ici a fait des dégâts très isolés. Donc là, on a rien reçu, c'était tout à nos frais. On a une assurance privée qui a des critères moins lourds. Les pointes de vent étaient à 95 km/h dans ce cas-là : la Mobilière [assurance suisse] paie à partir de 85 km/h par exemple. Mais il aurait fallu également des dégâts avoisinants, ce qui n'était pas le cas. Bref, on ne va pas réparer, parce qu'on a le projet de déménagement de ces anciens ateliers vers nos locaux ici. ","Le 2ème risque qu’on a connu, c’est sur ce bâtiment-là. On a un toit plat, bitumé, avec des gravillons qui permettent de garder le bitume ?. En fait lors de la tempête de 99, le vent a soulevé ces gravillons et a percuté toute la façade vitrée qu’on a ici. Donc on a eu pratiquement toute la façade vitrée qui était défoncée. On a réparé, et suite à notre réunion du mois d’avril, je me suis renseigné, j’ai demandé, qu’est-ce qu’on a fait contre ça ? On a remis du gravillon ! Donc j’ai dit, faudrait peut-être qu’on songe à mettre autre chose, des galets ou des choses comme ça. C’était le plus gros sinistre qu’on avait à l’époque. On a aussi eu des toits qui se sont soulevés, des choses comme ça, mais à la limite c’étaient des petits bobos, mais ça, c’était la chose à laquelle on ne se serait jamais attendus…","Kolhof et al: Zudem  können  Betriebsgebäude  oder  anderwärtige Betriebsmittel durch starke Windböen umgerissen und/oder beschädigt werden. Im Falle der Firma Klotz wurde unter anderem eine Lichtkuppe vom Dach gerissen oder die Waschanlage der LKW umgeweht und beschädigt.  ",,
